Year,Crop,District,Block_name,grand_total_production,grand_total_area,Rain_fall_actual(mm),Rain_fall_deviation(%),Temp_max(C),Temp_min(C),Yield,Temp_mean(C),Tbase,GDD_Year
2016,Paddy,KOZHIKODE,Balussery,422.851,445.13,2836.5,-0.06,38.8,23.0,0.9499494529687956,30.9,14,16.9
2016,Paddy,KOZHIKODE,Chelannur,260.131,273.83,2702.1,-0.12,38.4,22.6,0.9499726107438922,30.5,14,16.5
2016,Paddy,KOZHIKODE,Koduvally,352.141,180.6,2980.6,0.43,38.4,22.2,1.9498394241417498,30.299999999999997,14,16.299999999999997
2016,Paddy,KOZHIKODE,Kozhikode,47.608,37.36,2500.9,0.03,38.1,22.1,1.2743040685224838,30.1,14,16.1
2016,Paddy,KOZHIKODE,Kunnamangalam,508.954,313.66,2703.5,0.02,38.2,22.1,1.6226295989287762,30.150000000000002,14,16.150000000000002
2016,Paddy,KOZHIKODE,Kunnummel,267.037,189.58,2408.2,-0.19,38.4,22.3,1.4085715792805147,30.35,14,16.35
2016,Paddy,KOZHIKODE,Melady,172.768,145.51,2529.8,-0.09,38.4,22.6,1.187327331454883,30.5,14,16.5
2016,Paddy,KOZHIKODE,Panthalayani,147.125,147.66,2670.8,-0.21,38.5,22.7,0.9963768115942029,30.6,14,16.6
2016,Paddy,KOZHIKODE,Perambra,761.062,675.22,2614.6,0.13,39.1,22.5,1.1271318977518439,30.8,14,16.8
2016,Paddy,KOZHIKODE,Thodannur,489.77,296.77,2497.8,0.03,38.3,22.4,1.650335276476733,30.349999999999998,14,16.349999999999998
2016,Paddy,KOZHIKODE,Thuneri,96.198,90.31,2499.3,-0.14,38.1,22.8,1.0651976525301738,30.450000000000003,14,16.450000000000003
2016,Paddy,KOZHIKODE,Vatakara,27.895,24.13,2530.2,-0.25,38.0,22.8,1.1560298383754664,30.4,14,16.4
2016,Paddy,WAYANAD,Kalpetta,2825.982,1138.98,2525.5,-0.22,28.1,17.1,2.481151556655955,22.6,14,8.600000000000001
2016,Paddy,WAYANAD,Mananthawady,4709.018,2098.61,2042.9,-0.32,28.0,16.7,2.243874755195105,22.35,14,8.350000000000001
2016,Paddy,WAYANAD,Panamaram,7362.639,2685.48,2025.0,-0.05,28.0,16.8,2.7416473032753923,22.4,14,8.399999999999999
2016,Paddy,WAYANAD,Sulthanbathery,8771.399,3268.32,2044.5,-0.23,28.0,16.7,2.6837638297351543,22.35,14,8.350000000000001
2016,Paddy,KANNUR,Edakkad,729.579,322.31,2719.7,-0.14,37.6,22.9,2.263594055412491,30.25,14,16.25
2016,Paddy,KANNUR,Irikkur,1891.561,847.98,2838.0,-0.08,37.7,22.7,2.2306669968631336,30.200000000000003,14,16.200000000000003
2016,Paddy,KANNUR,Iritty,726.074,334.93,2620.6,-0.01,37.7,21.7,2.167838055713134,29.700000000000003,14,15.700000000000003
2016,Paddy,KANNUR,Kalliassery,2089.026,1008.61,2740.6,-0.39,38.0,21.5,2.0711930280286728,29.75,14,15.75
2016,Paddy,KANNUR,Kannur,168.811,106.79,2774.1,-0.2,38.0,21.5,1.5807753534975184,29.75,14,15.75
2016,Paddy,KANNUR,Kuthuparamba,155.33,72.73,2596.5,-0.05,37.7,22.0,2.1357074109720884,29.85,14,15.850000000000001
2016,Paddy,KANNUR,Panoor,40.107,25.12,2639.8,-0.16,37.8,21.3,1.5966162420382164,29.549999999999997,14,15.549999999999997
2016,Paddy,KANNUR,Payyannur,2362.675,980.54,2748.9,-0.33,38.3,21.6,2.4095651375772538,29.95,14,15.95
2016,Paddy,KANNUR,Peravur,222.01,110.97,2368.4,-0.26,38.0,21.7,2.000630801117419,29.85,14,15.850000000000001
2016,Paddy,KANNUR,Taliparamba,1592.684,769.78,2861.7,-0.18,38.0,21.5,2.0690119254852037,29.75,14,15.75
2016,Paddy,KANNUR,Thalassery,246.696,124.07,2696.4,-0.22,37.6,21.9,1.9883614088820827,29.75,14,15.75
2016,Paddy,KASARAGOD,Kanhangad,1630.147,708.32,2418.1,-0.3,38.3,19.8,2.3014273209848652,29.049999999999997,14,15.049999999999997
2016,Paddy,KASARAGOD,Karaduka,1350.099,552.54,2629.0,0.05,38.2,19.4,2.443441198827234,28.8,14,14.8
2016,Paddy,KASARAGOD,Kasaragod,919.589,373.36,2611.1,-0.29,38.1,19.0,2.463008892221984,28.55,14,14.55
2016,Paddy,KASARAGOD,Manjeswar,1440.793,594.87,2754.8,-0.27,38.0,19.8,2.4220300233664496,28.9,14,14.899999999999999
2016,Paddy,KASARAGOD,Nileshwar,2029.729,986.36,2691.9,-0.09,38.5,18.1,2.057797355934953,28.3,14,14.3
2016,Paddy,KASARAGOD,Parappa,389.556,180.41,2630.2,1.03,38.3,18.6,2.159281636272934,28.45,14,14.45
2016,Tapioca,TRIVANDRUM,Athiyannoor,15542.463,481.31,2636.2,0.79,36.1,24.0,32.29200099727826,30.05,10,20.05
2016,Tapioca,TRIVANDRUM,Chirayinkeezhu,52502.849,1365.91,1782.6,-0.15,35.8,23.5,38.438000307487314,29.65,10,19.65
2016,Tapioca,TRIVANDRUM,Kilimanoor,93714.50708,2083.2903999999967,2019.4,0.01,35.7,23.6,36.354000052989605,29.650000000000002,10,19.650000000000002
2016,Tapioca,TRIVANDRUM,Nedumangad,14800.075,495.4,2764.3,0.75,35.9,23.4,29.875000000000004,29.65,10,19.65
2016,Tapioca,TRIVANDRUM,Nemom,34652.269,1087.13,2808.3,0.79,36.0,24.3,31.875000229963295,30.15,10,20.15
2016,Tapioca,TRIVANDRUM,Parassala,23934.825,649.08,2661.3,1.03,36.1,24.2,36.875,30.15,10,20.15
2016,Tapioca,TRIVANDRUM,Perumkadavila,65721.115,1038.56,2804.2,0.9,36.1,24.3,63.28099965336621,30.200000000000003,10,20.200000000000003
2016,Tapioca,TRIVANDRUM,Pothencode,25861.55,795.74,1948.8,0.03,35.9,23.5,32.5,29.7,10,19.7
2016,Tapioca,TRIVANDRUM,Vamanapuram,39561.413,1286.55,2634.8,0.73,35.8,23.5,30.750000388636277,29.65,10,19.65
2016,Tapioca,TRIVANDRUM,Varkala,65651.059,1729.07,1804.0,-0.16,35.7,23.6,37.969000098318745,29.650000000000002,10,19.650000000000002
2016,Tapioca,TRIVANDRUM,Vellanad,26983.233,902.57,3120.7,1.03,35.9,23.4,29.896000310225244,29.65,10,19.65
2016,Tapioca,KOLLAM,Anchal,82586.053,1686.29,2596.7,0.44,35.6,22.6,48.97500014825445,29.1,10,19.1
2016,Tapioca,KOLLAM,Chadayamangalam,75433.569,2083.2903999999967,2482.8,0.28,35.6,22.6,32.225,29.1,10,19.1
2016,Tapioca,KOLLAM,Chavara,11471.26,544.1,2388.8,0.03,35.4,22.7,21.082999448630765,29.049999999999997,10,19.049999999999997
2016,Tapioca,KOLLAM,Chittumala,15519.362,637.11,2426.3,-0.05,35.4,21.7,24.35899923090204,28.549999999999997,10,18.549999999999997
2016,Tapioca,KOLLAM,Ithikkara,33166.79,1189.84,2184.8,-0.01,35.6,21.6,27.875000000000004,28.6,10,18.6
2016,Tapioca,KOLLAM,Kottarakara,43650.781,1183.75,2728.6,0.01,35.4,21.7,36.87499978880676,28.549999999999997,10,18.549999999999997
2016,Tapioca,KOLLAM,Mukhathala,22683.774,751.94,2358.0,-0.09,35.5,21.7,30.167000026597865,28.6,10,18.6
2016,Tapioca,KOLLAM,Oachira,18006.532,856.19,2472.4,0.06,35.3,21.8,21.031000128476155,28.549999999999997,10,18.549999999999997
2016,Tapioca,KOLLAM,Pathanapuram,81362.255,1650.35,2867.3,0.23,35.3,21.8,49.300000000000004,28.549999999999997,10,18.549999999999997
2016,Tapioca,KOLLAM,Sasthamcotta,76334.788,1969.93,2566.8,0.01,35.2,21.8,38.750000253816125,28.5,10,18.5
2016,Tapioca,KOLLAM,Vettikavala,56979.201,1908.02,2882.3,0.07,35.3,21.8,29.862999863733084,28.549999999999997,10,18.549999999999997
2016,Tapioca,PATHANAMTHITTA,Elanthoor,15870.0,368.0,2964.1,0.02,34.6,23.0,43.125,28.8,10,18.8
2016,Tapioca,PATHANAMTHITTA,Koipuram,18904.86,484.74,4327.0,0.43,34.5,22.2,39.0,28.35,10,18.35
2016,Tapioca,PATHANAMTHITTA,Konni,18777.87,451.12,2919.3,0.85,35.3,22.9,41.625,29.099999999999998,10,19.099999999999998
2016,Tapioca,PATHANAMTHITTA,Mallappally,17256.76,466.79,4327.0,1.03,34.8,22.1,36.96900104972257,28.45,10,18.45
2016,Tapioca,PATHANAMTHITTA,Pandalam,28208.637,768.23,2749.1,-0.05,34.7,21.1,36.7189995183734,27.900000000000002,10,17.900000000000002
2016,Tapioca,PATHANAMTHITTA,Parakodu,66972.876,1780.01,2897.5,0.09,35.0,21.9,37.62499985955135,28.45,10,18.45
2016,Tapioca,PATHANAMTHITTA,Pulikeezh,4859.603,140.52,2056.0,-0.26,35.0,21.9,34.58299886137205,28.45,10,18.45
2016,Tapioca,PATHANAMTHITTA,Ranni,30775.626,584.81,2912.5,0.6,35.2,21.8,52.62499957251074,28.5,10,18.5
2016,Tapioca,ALAPPUZHA,Ambalapuzha,348.888,14.69,2220.0,-0.2,35.5,23.7,23.7500340367597,29.6,10,19.6
2016,Tapioca,ALAPPUZHA,Aryad,360.771,19.03,2354.6,-0.18,35.8,23.5,18.95801366263794,29.65,10,19.65
2016,Tapioca,ALAPPUZHA,Bharanikkavu,33688.921,966.85,2583.0,-0.06,35.0,23.9,34.84399958628536,29.45,10,19.45
2016,Tapioca,ALAPPUZHA,Champakkulam,286.538,8.49,2140.4,-0.25,35.4,23.7,33.750058892815076,29.549999999999997,10,19.549999999999997
2016,Tapioca,ALAPPUZHA,Chengannur,27818.959,760.85,2419.5,-0.12,34.8,24.0,36.563000591443775,29.4,10,19.4
2016,Tapioca,ALAPPUZHA,Harippad,2898.671,156.33,2209.1,-0.18,35.3,23.8,18.54200089554148,29.549999999999997,10,19.549999999999997
2016,Tapioca,ALAPPUZHA,Kanjikuzhy,524.238,24.67,2520.6,-0.14,35.9,23.5,21.250020267531415,29.7,10,19.7
2016,Tapioca,ALAPPUZHA,Mavelikkara,12887.0,368.2,2336.1,-0.14,35.1,23.9,35.0,29.5,10,19.5
